ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,,,,,,,,,,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Krajinovic F.,69,102,727,574,6,2,6,1,,,,,,,2,0,Retired,1,36,3,1,35,3,1,4,3,1,42,3,14,1,44,3,15,1,38,2,99,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Berankis R.,35,85,1160,641,6,1,3,6,6,4,6,2,,,3,1,Completed,1,18,4,5,1,2,4,3,1,22,4,33,1,22,4,87,1,22,4,87,1,2,4,45,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Querrey S.,77,58,678,785,6,7,4,6,6,4,6,2,,,2,2,Retired,3,5,1,28,3,2,1,33,3,4,1,33,3,39,1,37,3,8,1,37,3,32,1,32,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Nishioka Y.,41,117,1065,501,7,6,6,1,6,4,,,,,3,0,Completed,1,44,2,62,1,45,2,6,1,5,2,62,1,5,2,81,1,56,2,85,1,49,2,58,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Rubin N.,Paire B.,328,18,146,1703,7,6,7,6,7,6,,,,,3,0,Completed,9,1,6,8,1,7,8,1,8,10,44,1,8,13,1,1,8,92,1,6,,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Dodig I.,187,78,274,678,6,4,6,7,6,4,7,5,,,3,1,Completed,6,1,12,5,25,1,14,5,5,1,14,6,18,1,16,6,18,1,17,5,53,1,14,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Jasika O.,Marchenko I.,310,76,159,688,6,4,3,6,6,0,6,4,,,3,1,Completed,6,1,12,5,4,1,13,5,5,1,14,6,62,1,14,6,62,1,18,5,48,1,14,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Lorenzi P.,28,57,1420,795,6,3,7,6,6,3,,,,,3,0,Completed,1,6,9,1,4,10,1,7,8,5,1,8,9,95,1,8,10,1,6,8,97,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Gabashvili T.,29,44,1290,933,3,6,7,6,6,4,7,6,,,3,1,Completed,1,61,2,2,1,62,2,2,1,62,2,25,1,65,2,38,1,67,2,45,1,62,2,25,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Trungelliti M.,Kovalik J.,210,251,244,215,6,4,7,6,7,5,,,,,3,0,Completed,2,1,1,66,2,5,1,75,2,1,1,73,2,15,1,79,2,17,1,83,2,9,1,73,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Basilashvili N.,3,118,8165,493,6,2,6,1,6,2,,,,,3,0,Completed,1,1,26,1,1,13,1,1,26,1,1,27,22,1,2,41,1,1,19,81,,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Carreno-Busta P.,30,68,1260,734,6,2,7,5,6,2,,,,,3,0,Completed,1,1,7,1,11,6,1,11,6,5,1,11,7,91,1,13,7,91,1,1,6,73,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Klizan M.,21,43,1640,955,6,2,6,3,4,6,2,6,6,2,3,2,Completed,1,1,7,1,1,6,1,12,6,1,1,8,67,1,11,9,1,8,7,55,,,,,,,,
6,Melbourne,Australian Open,18/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Baghdatis M.,10,46,2725,894,6,4,4,6,6,4,6,2,,,3,1,Completed,1,14,5,5,1,1,6,1,11,6,5,1,17,6,1,17,7,1,13,5,87,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Kuznetsov An.,Harrison R.,74,134,693,448,7,5,6,4,6,4,,,,,3,0,Completed,1,36,3,1,38,2,9,1,4,3,1,46,2,93,1,48,3,1,1,41,2,87,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Groth S.,Mannarino A.,67,48,747,880,7,6,6,4,3,6,6,3,,,3,1,Completed,2,62,1,44,2,6,1,45,2,62,1,5,2,56,1,58,2,75,1,58,2,54,1,5,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Schwartzman D.,95,89,611,621,3,6,5,7,7,6,5,0,,,1,2,Retired,1,3,3,4,1,25,3,5,1,3,3,5,1,37,3,39,1,37,3,75,1,31,3,38,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Pouille L.,14,90,2270,621,6,1,6,4,6,4,,,,,3,0,Completed,1,6,10,1,6,8,25,1,5,10,1,5,13,89,1,7,13,89,1,5,9,91,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Fratangelo B.,225,132,233,458,6,2,6,2,6,2,,,,,3,0,Completed,1,5,2,5,1,48,2,6,1,5,2,62,1,58,2,55,1,58,2,62,1,52,2,49,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Gulbis E.,31,79,1255,661,7,5,2,6,6,7,6,3,13,11,3,2,Completed,1,33,3,25,1,4,2,9,1,36,3,25,1,35,3,54,1,4,3,54,1,34,3,24,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Fognini F.,38,23,1105,1515,7,6,7,6,6,7,7,6,,,3,1,Completed,1,72,2,1,72,2,5,1,8,2,1,81,2,11,1,81,2,19,1,74,2,7,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Kukushkin M.,33,94,1191,612,6,3,6,4,6,3,,,,,3,0,Completed,1,66,2,1,1,65,2,15,1,73,2,1,1,78,2,17,1,78,2,23,1,7,2,13,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Ram R.,Anderson K.,93,12,617,2475,7,6,6,7,6,3,3,0,,,2,1,Retired,9,1,7,7,5,1,7,8,5,1,7,10,44,1,8,10,44,1,8,8,66,1,6,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Ebden M.,80,106,661,557,6,2,4,6,6,1,6,4,,,3,1,Completed,1,4,2,75,1,45,2,7,1,44,2,75,1,52,2,74,1,52,2,88,1,44,2,72,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Zverev A.,2,83,8945,647,6,1,6,2,6,3,,,,,3,0,Completed,1,2,17,1,1,12,1,2,15,1,3,20,5,1,3,26,1,2,14,94,,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Evans D.,19,185,1690,274,6,1,6,0,6,4,,,,,3,0,Completed,1,2,4,33,1,22,3,75,1,22,4,1,24,4,55,1,3,4,55,1,23,4,3,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Darcis S.,75,110,693,538,2,6,3,6,6,3,7,5,6,1,3,2,Completed,1,53,2,37,1,52,2,45,1,62,2,25,1,56,2,61,1,73,2,61,1,56,2,41,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Jaziri M.,42,104,1000,566,7,5,3,6,4,6,7,6,8,6,3,2,Completed,1,28,3,5,1,25,3,5,1,29,3,75,1,33,3,65,1,33,3,8,1,29,3,53,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,Young D.,70,47,723,882,6,4,1,6,6,3,6,2,,,3,1,Completed,2,5,1,5,2,5,1,5,2,62,1,5,2,56,1,58,2,62,1,58,2,51,1,51,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Nadal R.,45,5,900,5230,7,6,4,6,3,6,7,6,6,2,3,2,Completed,8,1,8,6,5,1,1,8,1,8,9,28,1,9,9,28,1,11,7,88,1,8,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Janowicz J.,11,56,2495,795,6,3,7,6,6,3,,,,,3,0,Completed,1,2,4,33,1,2,4,1,22,4,33,1,27,4,18,1,28,4,5,1,22,4,13,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Becker B.,87,101,633,597,6,1,6,3,2,6,6,2,,,3,1,Completed,1,83,1,83,1,82,1,9,1,91,1,91,1,91,2,1,91,2,5,1,85,1,93,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Bedene A.,32,49,1240,867,6,3,6,4,7,6,,,,,3,0,Completed,1,57,2,25,1,65,2,15,1,67,2,2,1,65,2,38,1,77,2,38,1,65,2,21,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Smyczek T.,Gimeno-Traver D.,108,100,543,598,6,1,3,6,6,3,6,2,,,3,1,Completed,1,25,3,75,1,28,3,5,1,25,4,1,31,3,84,1,31,4,2,1,27,3,68,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci T.,Thompson J.,37,143,1105,414,6,2,6,3,6,2,,,,,3,0,Completed,1,36,3,1,38,3,1,4,3,1,43,3,5,1,44,3,15,1,39,2,93,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Sugita Y.,25,124,1485,481,6,1,6,3,6,2,,,,,3,0,Completed,1,8,8,1,11,6,1,8,8,1,11,8,27,1,12,8,27,1,1,6,98,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Mahut N.,Cecchinato M.,63,92,767,618,4,6,6,2,6,2,6,2,,,3,1,Completed,1,6,9,1,1,6,1,11,6,5,1,9,9,58,1,14,9,58,1,9,7,3,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Baker B.,64,N/A,765,N/A,7,6,7,6,6,7,7,6,,,3,1,Completed,1,1,7,1,9,6,5,1,8,8,1,13,7,4,1,13,8,1,1,6,89,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Istomin D.,17,59,1720,781,6,7,6,4,6,4,6,4,,,3,1,Completed,1,2,4,33,1,2,4,3,1,17,5,1,26,4,39,1,26,5,1,21,4,3,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gojowczyk P.,8,223,4145,234,6,4,6,4,6,2,,,,,3,0,Completed,1,4,13,1,4,10,1,5,10,1,6,12,95,1,6,14,1,4,11,1,,,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Ito T.,188,125,272,477,6,4,6,3,6,7,6,2,,,3,1,Completed,1,3,3,4,1,28,3,4,1,33,3,4,1,34,3,56,1,37,3,6,1,32,3,3,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Rosol L.,Daniel T.,51,99,827,603,7,6,7,5,5,7,6,7,6,1,3,2,Completed,1,33,3,25,1,33,3,1,1,36,3,25,1,38,3,32,1,38,3,5,1,35,3,16,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Fritz T.,22,155,1525,372,6,4,3,6,0,6,6,3,6,4,3,2,Completed,1,44,2,62,1,42,2,7,1,5,2,62,1,53,2,7,1,58,2,9,1,46,2,67,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Munoz-De La Nava D.,26,71,1475,718,4,6,4,6,6,1,7,6,6,3,3,2,Completed,1,12,6,1,12,5,75,1,11,6,5,1,14,6,7,1,15,7,1,12,6,8,,,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Duckworth J.,308,129,160,460,7,6,6,2,6,4,,,,,3,0,Completed,1,44,2,62,1,5,2,45,1,53,2,5,1,55,2,64,1,56,2,75,1,5,2,56,,,,
6,Melbourne,Australian Open,19/01/2016,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Tursunov D.,4,N/A,6865,N/A,7,6,6,3,,,,,,,2,0,Retired,1,1,26,1,1,13,1,2,17,1,1,34,1,2,34,1,1,19,84,,,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,Krajicek A.,7,103,4235,571,6,3,7,6,6,3,,,,,3,0,Completed,1,3,15,1,2,12,1,3,12,1,3,18,8,1,4,18,8,1,3,13,52,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Goffin D.,Dzumhur D.,16,81,1835,661,6,4,0,6,6,4,6,2,,,3,1,Completed,1,4,13,1,4,10,1,5,10,1,5,13,89,1,6,14,92,1,4,11,9,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Delbonis F.,Olivo R.,53,174,815,296,7,6,3,6,6,7,7,5,6,2,3,2,Completed,1,36,3,1,35,3,1,1,36,3,25,1,38,3,35,1,38,3,4,1,35,3,13,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Almagro N.,20,73,1645,694,6,3,6,1,6,3,,,,,3,0,Completed,1,36,3,1,38,3,1,4,3,1,42,3,11,1,42,3,25,1,37,3,4,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,Donskoy E.,15,91,2145,620,6,3,5,7,7,6,4,6,7,5,3,2,Completed,1,11,6,5,1,12,5,75,1,1,7,1,14,6,9,1,14,7,1,12,6,17,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Dolgopolov O.,3,35,8165,1160,6,3,7,5,6,1,,,,,3,0,Completed,1,6,10,1,6,8,5,1,6,9,1,7,10,84,1,7,11,1,6,9,13,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista R.,Lajovic D.,21,77,1640,678,4,6,6,2,4,6,6,2,6,1,3,2,Completed,1,12,6,1,12,5,6,1,14,5,5,1,12,7,71,1,16,7,71,1,12,6,13,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,Basic M.,6,138,4560,432,6,4,6,0,6,3,,,,,3,0,Completed,1,3,15,1,3,11,1,3,12,1,3,17,65,1,4,21,1,3,13,48,,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Ramos-Vinolas A.,13,61,2405,773,6,4,6,3,7,6,,,,,3,0,Completed,1,11,6,5,1,12,5,75,1,11,6,5,1,15,6,34,1,15,7,1,12,6,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Dimitrov G.,Trungelliti M.,28,210,1420,244,6,3,4,6,6,2,7,5,,,3,1,Completed,1,4,13,1,3,11,1,5,10,1,4,15,91,1,5,17,1,3,12,13,,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Garcia-Lopez G.,Brands D.,27,151,1430,393,4,6,6,1,7,6,6,3,,,3,1,Completed,1,36,3,1,38,3,1,36,3,25,1,42,3,11,1,42,3,25,1,37,3,2,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Kyrgios N.,Cuevas P.,30,41,1260,1065,6,4,7,5,7,6,,,,,3,0,Completed,1,12,6,1,11,5,75,1,12,6,1,15,6,48,1,15,6,75,1,12,6,2,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Tsonga J.W.,Jasika O.,10,310,2725,159,7,5,6,1,6,4,,,,,3,0,Completed,1,2,17,1,2,12,1,3,12,1,2,21,68,1,4,23,5,1,2,15,13,,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Herbert P.H.,Rubin N.,167,328,313,146,6,3,6,4,6,0,,,,,3,0,Completed,1,36,3,1,3,3,4,1,36,3,25,1,32,3,74,1,39,3,74,1,32,3,33,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Seppi A.,Kudla D.,29,69,1290,727,7,5,6,4,6,4,,,,,3,0,Completed,1,33,3,25,1,38,3,1,4,3,1,38,3,32,1,4,3,35,1,36,3,11,,,,,,
6,Melbourne,Australian Open,20/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Halys Q.,1,187,16790,274,6,1,6,2,7,6,,,,,3,0,Completed,1,51,1,28,1,34,1,81,1,1,91,1,1,32,55,,,,,,,,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Isner J.,Granollers M.,11,80,2495,661,6,3,7,6,7,6,,,,,3,0,Completed,1,12,6,1,14,5,25,1,12,6,1,13,7,38,1,15,7,38,1,11,6,2,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Monfils G.,Mahut N.,25,63,1485,767,7,5,6,4,6,1,,,,,3,0,Completed,1,2,4,33,1,2,4,1,22,4,33,1,2,5,23,1,26,5,23,1,21,4,3,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Sousa J.,Giraldo S.,33,70,1191,723,6,3,7,5,3,6,6,1,,,3,1,Completed,1,36,3,1,38,3,1,4,3,1,5,2,8,1,5,3,1,1,41,2,89,,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Robert S.,Ram R.,225,93,233,617,6,1,6,7,4,6,7,5,7,5,3,2,Completed,1,57,2,25,1,6,2,3,1,57,2,38,1,65,2,39,1,65,2,5,1,58,2,36,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Raonic M.,Robredo T.,14,42,2270,1000,7,6,7,6,7,5,,,,,3,0,Completed,1,7,9,1,7,8,1,7,8,5,1,7,10,98,1,8,10,98,1,6,8,84,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Pella G.,19,75,1690,693,7,6,6,7,7,6,6,7,6,4,3,2,Completed,1,11,6,5,1,11,5,75,1,11,6,5,1,17,5,91,1,17,7,8,1,12,6,18,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Murray A.,Groth S.,2,67,8945,747,6,0,6,4,6,1,,,,,3,0,Completed,1,1,21,1,1,13,1,2,15,1,2,22,32,1,3,26,1,1,16,54,,,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Sela D.,Verdasco F.,87,45,633,900,4,6,6,3,6,3,7,6,,,3,1,Completed,4,1,22,4,1,2,4,1,25,4,5,1,29,4,25,1,29,3,91,1,24,,,,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Troicki V.,Smyczek T.,26,108,1475,543,6,4,7,6,7,6,,,,,3,0,Completed,1,18,4,5,1,18,4,5,1,2,4,5,1,24,4,54,1,25,4,9,1,2,4,42,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Johnson S.,Bellucci T.,32,37,1240,1105,6,3,6,2,6,2,,,,,3,0,Completed,1,53,2,37,1,5,2,45,1,53,2,5,1,59,2,52,1,59,2,57,1,54,2,44,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Millman J.,Muller G.,95,38,611,1105,4,6,6,4,6,2,4,6,7,5,3,2,Completed,3,75,1,25,3,7,1,25,3,75,1,29,3,87,1,31,3,9,1,31,3,69,1,27,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Kuznetsov An.,Chardy J.,74,31,693,1255,6,4,7,6,7,6,,,,,3,0,Completed,2,1,1,66,2,3,1,58,2,2,1,67,2,23,1,74,2,3,1,77,2,16,1,68,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Rosol L.,Sock J.,51,22,827,1525,7,6,7,6,6,3,,,,,3,0,Completed,2,75,1,4,2,75,1,42,2,62,1,5,2,74,1,52,2,78,1,52,2,65,1,47,,,,
6,Melbourne,Australian Open,21/01/2016,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Stepanek R.,4,188,6865,272,6,2,6,3,6,4,,,,,3,0,Completed,1,6,9,1,8,7,25,1,8,8,1,7,10,71,1,8,10,71,1,7,8,58,,,,,,
